Genes,Transcription-Direction,Left-End-Position,Right-End-Position,,,,,,,,,
yadC,-,149715,150953,,,,,,,,,
yadK,-,151003,151599,,,,,,,,,
yadL,-,151626,152231,,,,,,,,,
yadM,-,152243,152812,,,,,,,,,
htrE,-,152829,155426,,,,,,,,,
yadV,-,155461,156201,,,,,,,,,
yadN,-,156299,156883,,,,,,,,,
folK,-,157253,157732,,,,,,,,,
pcnB,-,157729,159126,,,,,,,,,
gluQ,-,159186,160112,,,,,,,,,
dksA,-,160149,160604,,,,,,,,,
sfsA,-,160782,161486,,,,,,,,,
thpR,-,161501,162031,,,,,,,,,
hrpB,+,162105,164534,,,,,,,,,
mrcB,+,164730,167264,,,,,,,,,
fhuA,+,167484,169727,,,,,,,,,
fhuC,+,169778,170575,,,,,,,,,
fhuD,+,170575,171465,,,,,,,,,
fhuB,+,171462,173444,,,,,,,,,
hemL,-,173602,174882,,,,,,,,,
clcA,+,175107,176528,,,,,,,,,
erpA,+,176610,176954,,,,,,,,,
yadS,-,177001,177624,,,,,,,,,
btuF,-,177662,178462,,,,,,,,,
mtn,-,178455,179153,,,,,,,,,
dgt,+,179237,180754,,,,,,,,,
degP,+,180884,182308,,,,,,,,,
cdaR,+,182463,183620,,,,,,,,,
yaeH,-,183709,184095,,,,,,,,,
yaeI,-,184257,185069,,,,,,,,,
dapD,-,185123,185947,,,,,,,,,
glnD,-,185978,188650,,,,,,,,,
map,-,188712,189506,,,,,,,,,
tff,+,189712,189847,,,,,,,,,
rpsB,+,189874,190599,,,,,,,,,
tsf,+,190857,191708,,,,,,,,,
pyrH,+,191855,192580,,,,,,,,,
frr,+,192872,193429,,,,,,,,,
dxr,+,193521,194717,,,,,,,,,
ispU,+,194903,195664,,,,,,,,,
cdsA,+,195677,196534,,,,,,,,,
rseP,+,196546,197898,,,,,,,,,
bamA,+,197928,200360,,,,,,,,,
skp,+,200482,200967,,,,,,,,,
lpxD,+,200971,201996,,,,,,,,,
fabZ,+,202101,202556,,,,,,,,,
lpxA,+,202560,203348,,,,,,,,,
lpxB,+,203348,204496,,,,,,,,,
rnhB,+,204493,205089,,,,,,,,,
dnaE,+,205126,208608,,,,,,,,,
accA,+,208621,209580,,,,,,,,,
ldcC,+,209679,211820,,,,,,,,,
yaeR,+,211877,212266,,,,,,,,,
tilS,+,212331,213629,,,,,,,,,
rof,-,213678,213932,,,,,,,,,
yaeP,-,213925,214125,,,,,,,,,
yaeQ,+,214291,214836,,,,,,,,,
arfB,+,214833,215255,,,,,,,,,
nlpE,+,215269,215979,,,,,,,,,
yaeF,-,216179,217003,,,,,,,,,
proS,-,217057,218775,,,,,,,,,
trmO,-,218887,219594,,,,,,,,,
rcsF,-,219591,219995,,,,,,,,,
metQ,-,220113,220928,,,,,,,,,
metI,-,220968,221621,,,,,,,,,
metN,-,221614,222645,,,,,,,,,
gmhB,+,222833,223408,,,,,,,,,
rrsH,+,223771,225312,,,,,,,,,
ileV,+,225381,225457,,,,,,,,,
alaV,+,225500,225575,,,,,,,,,
rrlH,+,225759,228662,,,,,,,,,
rrfH,+,228756,228875,,,,,,,,,
aspU,+,228928,229004,,,,,,,,,
dkgB,+,229167,229970,,,,,,,,,
yafC,-,229967,230881,,,,,,,,,
yafD,+,231122,231922,,,,,,,,,
yafE,+,231926,232549,,,,,,,,,
mltD,-,232597,233955,,,,,,,,,
gloB,-,234027,234782,,,,,,,,,
yafS,+,234816,235538,,,,,,,,,
rnhA,-,235535,236002,,,,,,,,,
dnaQ,+,236067,236798,,,,,,,,,
aspV,+,236931,237007,,,,,,,,,
yafT,+,237335,238120,,,,,,,,,
ykfM,-,238257,238736,,,,,,,,,
C0067,+,238462,238586,,,,,,,,,
yafU,-,238746,239084,,,,,,,,,
yafV,-,239419,240189,,,,,,,,,
ivy,+,240343,240816,,,,,,,,,
fadE,-,240859,243303,,,,,,,,,
lpcA,+,243543,244121,,,,,,,,,
yafJ,+,244327,245094,,,,,,,,,
yafK,-,245065,245805,,,,,,,,,
yafQ,-,245961,246239,,,,,,,,,
dinJ,-,246242,246502,,,,,,,,,
yafL,+,246712,247461,,,,,,,,,
rayT,+,247637,248134,,,,,,,,,
dinB,+,250898,251953,,,,,,,,,
yafN,+,252005,252298,,,,,,,,,
yafO,+,252301,252699,,,,,,,,,
yafP,+,252709,253161,,,,,,,,,
pepD,-,254259,255716,,,,,,,,,
gpt,+,255977,256435,,,,,,,,,
frsA,+,256527,257771,,,,,,,,,
crl,+,257829,258230,,,,,,,,,
phoE,-,258269,259324,,,,,,,,,
proB,+,259612,260715,,,,,,,,,
proA,+,260727,261980,,,,,,,,,
thrW,+,262095,262170,,,,,,,,,
ykfI,-,262552,262893,,,,,,,,,
yafW,-,262914,263231,,,,,,,,,
ykfH,-,263250,263471,,,,,,,,,
ykfG,-,263480,263956,,,,,,,,,
yafX,-,263972,264430,,,,,,,,,
ykfF,-,264528,264767,,,,,,,,,
ykfB,-,264844,265311,,,,,,,,,
yafY,-,265334,265777,,,,,,,,,
yafZ,-,266408,267229,,,,,,,,,
ykfA,-,267321,268184,,,,,,,,,
perR,-,268513,269406,,,,,,,,,
insN-1,+,269466,269870,,,,,,,,,
insI-1,+,269827,270978,,,,,,,,,
insO-1,+,271054,271479,,,,,,,,,
eyeA,+,271804,271878,,,,,,,,,
ykfC,+,272071,273216,,,,,,,,,
insH-1,-,273325,274341,,,,,,,,,
mmuP,+,274549,275952,,,,,,,,,
mmuM,+,275939,276871,,,,,,,,,
afuC,-,276980,278026,,,,,,,,,
afuB,-,278038,278400,,,,,,,,,
insB-2,-,278402,278905,,,,,,,,,
insAB-2,-,278402,279099,,,,,,,,,
insA-2,-,278824,279099,,,,,,,,,
ykgN,-,279248,279586,,,,,,,,,
yagB,-,279609,279959,,,,,,,,,
yagA,-,280053,281207,,,,,,,,,
yagE,+,281502,282410,,,,,,,,,
yagF,+,282425,284392,,,,,,,,,
yagG,+,284619,286001,,,,,,,,,
yagH,+,286013,287623,,,,,,,,,
yagI,-,287628,288386,,,,,,,,,
argF,-,288525,289529,,,,,,,,,
insB-3,-,289873,290376,,,,,,,,,
insAB-3,-,289873,290570,,,,,,,,,
insA-3,-,290295,290570,,,,,,,,,
yagJ,+,290724,291455,,,,,,,,,
yagK,-,291546,292172,,,,,,,,,
yagL,-,292444,293142,,,,,,,,,
yagM,-,293169,294023,,,,,,,,,
yagN,-,294363,294803,,,,,,,,,
intF,-,294920,296320,,,,,,,,,
nc1,-,296361,296528,,,,,,,,,
yagP,-,296605,297015,,,,,,,,,
paoD,-,296994,297950,,,,,,,,,
paoC,-,297960,300158,,,,,,,,,
paoB,-,300155,301111,,,,,,,,,
paoA,-,301108,301797,,,,,,,,,
yagU,+,302215,302829,,,,,,,,,
ykgJ,-,303077,303406,,,,,,,,,
ecpA,-,309308,309895,,,,,,,,,
ecpR,-,309970,310560,,,,,,,,,
ykgL,+,311336,311563,,,,,,,,,
ykgO,-,311598,311738,,,,,,,,,
ykgM,-,311738,312001,,,,,,,,,
ykgR,-,312365,312466,,,,,,,,,
insE-1,+,314506,314814,,,,,,,,,
insEF-1,+,314506,315677,,,,,,,,,
insF-1,+,314811,315677,,,,,,,,,
ykgA,-,315674,316360,,,,,,,,,
rclC,-,316950,317543,,,,,,,,,
rclB,-,317555,317791,,,,,,,,,
rclA,-,317900,319225,,,,,,,,,
rclR,+,319451,320305,,,,,,,,,
ykgE,+,320832,321551,,,,,,,,,
ykgF,+,321562,322989,,,,,,,,,
ykgG,+,322982,323677,,,,,,,,,
ykgH,-,323920,324588,,,,,,,,,
betA,-,324801,326471,,,,,,,,,
betB,-,326485,327957,,,,,,,,,
betI,-,327971,328558,,,,,,,,,
betT,+,328687,330720,,,,,,,,,
yahA,+,331595,332683,,,,,,,,,
yahB,-,332725,333657,,,,,,,,,
yahC,-,333749,334246,,,,,,,,,
yahD,+,334504,335109,,,,,,,,,
yahE,+,335149,336012,,,,,,,,,
yahF,+,336002,337549,,,,,,,,,
yahG,+,337549,338967,,,,,,,,,
yahH,+,339017,339313,,,,,,,,,
yahI,+,339389,340339,,,,,,,,,
yahJ,+,340349,341731,,,,,,,,,
yahK,+,342108,343157,,,,,,,,,
yahL,+,343400,344215,,,,,,,,,
yahM,+,344628,344873,,,,,,,,,
yahN,-,344890,345561,,,,,,,,,
yahO,+,345708,345983,,,,,,,,,
prpR,-,346081,347667,,,,,,,,,
prpB,+,347906,348796,,,,,,,,,
prpC,+,349236,350405,,,,,,,,,
prpD,+,350439,351890,,,,,,,,,
prpE,+,351930,353816,,,,,,,,,
codB,+,354146,355405,,,,,,,,,
codA,+,355395,356678,,,,,,,,,
cynR,-,357015,357914,,,,,,,,,
cynT,+,358023,358682,,,,,,,,,
cynS,+,358713,359183,,,,,,,,,
cynX,+,359216,360370,,,,,,,,,
lacA,-,360473,361084,,,,,,,,,
lacY,-,361150,362403,,,,,,,,,
lacZ,-,362455,365529,,,,,,,,,
lacI,-,365652,366734,,,,,,,,,
mhpR,-,366811,367644,,,,,,,,,
mhpA,+,367835,369499,,,,,,,,,
mhpB,+,369501,370445,,,,,,,,,
mhpC,+,370463,371329,,,,,,,,,
mhpD,+,371339,372148,,,,,,,,,
mhpF,+,372145,373095,,,,,,,,,
mhpE,+,373092,374105,,,,,,,,,
mhpT,+,374683,375894,,,,,,,,,
yaiL,+,375996,376535,,,,,,,,,
frmB,-,376759,377592,,,,,,,,,
frmA,-,377686,378795,,,,,,,,,
frmR,-,378830,379105,,,,,,,,,
yaiO,-,379293,380066,,,,,,,,,
yaiX,-,380068,380283,,,,,,,,,
insC-1,+,380530,380940,,,,,,,,,
insCD-1,+,380530,381803,,,,,,,,,
insD-1,+,380898,381803,,,,,,,,,
yaiF,-,381728,382114,,,,,,,,,
yaiP,-,381963,383159,,,,,,,,,
yaiS,-,383283,383840,,,,,,,,,
tauA,+,384456,385418,,,,,,,,,
tauB,+,385431,386198,,,,,,,,,
tauC,+,386195,387022,,,,,,,,,
tauD,+,387019,387870,,,,,,,,,
hemB,-,387977,388951,,,,,,,,,
yaiT,+,389475,390935,,,,,,,,,
insF-2,-,390963,391829,,,,,,,,,
insEF-2,-,390963,392134,,,,,,,,,
insE-2,-,391826,392134,,,,,,,,,
yaiU,+,392239,393642,,,,,,,,,
yaiV,+,393685,394353,,,,,,,,,
ampH,-,394354,395511,,,,,,,,,
sbmA,+,395863,397083,,,,,,,,,
yaiW,+,397096,398190,,,,,,,,,
yaiY,-,398249,398557,,,,,,,,,
yaiZ,+,398817,399029,,,,,,,,,
ddlA,-,399053,400147,,,,,,,,,
iraP,+,400610,400870,,,,,,,,,
phoA,+,400971,402386,,,,,,,,,
psiF,+,402505,402825,,,,,,,,,
adrA,+,402927,404042,,,,,,,,,
proC,-,404059,404868,,,,,,,,,
yaiI,+,404988,405446,,,,,,,,,
aroL,+,405629,406153,,,,,,,,,
yaiA,+,406203,406394,,,,,,,,,
aroM,+,406652,407329,,,,,,,,,
yaiE,+,407401,407685,,,,,,,,,
ykiA,+,407833,408174,,,,,,,,,
rdgC,-,408332,409243,,,,,,,,,
mak,+,409368,410276,,,,,,,,,
araJ,-,410521,411705,,,,,,,,,
sbcC,-,411831,414977,,,,,,,,,
sbcD,-,414974,416176,,,,,,,,,
phoB,+,416366,417055,,,,,,,,,
phoR,+,417113,418408,,,,,,,,,
brnQ,+,418815,420134,,,,,,,,,
proY,+,420210,421583,,,,,,,,,
malZ,+,421742,423556,,,,,,,,,
acpH,-,423561,424142,,,,,,,,,
queA,+,424235,425305,,,,,,,,,
tgt,+,425361,426488,,,,,,,,,
yajC,+,426511,426843,,,,,,,,,
secD,+,426871,428718,,,,,,,,,
secF,+,428729,429700,,,,,,,,,
yajD,+,429829,430176,,,,,,,,,
tsx,-,430353,431237,,,,,,,,,
yajI,-,431536,432075,,,,,,,,,
nrdR,+,432226,432675,,,,,,,,,
ribD,+,432679,433782,,,,,,,,,
ribE,+,433871,434341,,,,,,,,,
nusB,+,434361,434780,,,,,,,,,
thiL,+,434858,435835,,,,,,,,,
pgpA,+,435813,436331,,,,,,,,,
yajO,-,436385,437359,,,,,,,,,
dxs,-,437539,439401,,,,,,,,,
ispA,-,439426,440325,,,,,,,,,
xseB,-,440325,440567,,,,,,,,,
thiI,+,440773,442221,,,,,,,,,
yajL,-,442275,442865,,,,,,,,,
panE,-,442828,443739,,,,,,,,,
yajQ,+,443907,444398,,,,,,,,,
yajR,-,444526,445890,,,,,,,,,
cyoE,-,446039,446929,,,,,,,,,
cyoD,-,446941,447270,,,,,,,,,
cyoC,-,447270,447884,,,,,,,,,
cyoB,-,447874,449865,,,,,,,,,
cyoA,-,449887,450834,,,,,,,,,
ampG,-,451294,452769,,,,,,,,,
yajG,-,452813,453391,,,,,,,,,
bolA,+,453696,454013,,,,,,,,,
tig,+,454357,455655,,,,,,,,,
clpP,+,455901,456524,,,,,,,,,
clpX,+,456650,457924,,,,,,,,,
sraA,-,457952,458008,,,,,,,,,
lon,+,458112,460466,,,,,,,,,
hupB,+,460675,460947,,,,,,,,,
ppiD,+,461139,463010,,,,,,,,,
ybaV,+,463161,463532,,,,,,,,,
fadM,+,463626,464024,,,,,,,,,
queC,-,464076,464771,,,,,,,,,
ybaE,-,464836,466536,,,,,,,,,
cof,+,466636,467454,,,,,,,,,
ybaO,+,467607,468065,,,,,,,,,
mdlA,+,468095,469867,,,,,,,,,
mdlB,+,469860,471641,,,,,,,,,
glnK,+,471822,472160,,,,,,,,,
amtB,+,472190,473476,,,,,,,,,
tesB,-,473525,474385,,,,,,,,,
ybaY,+,474603,475175,,,,,,,,,
atl,-,475206,475595,,,,,,,,,
ffs,+,475672,475785,,,,,,,,,
ybaA,+,475896,476249,,,,,,,,,
ylaB,-,476291,477841,,,,,,,,,
ylaC,-,478005,478475,,,,,,,,,
maa,-,478591,479142,,,,,,,,,
hha,-,479314,479532,,,,,,,,,
tomB,-,479558,479932,,,,,,,,,
acrB,-,480478,483627,,,,,,,,,
acrA,-,483650,484843,,,,,,,,,
acrR,+,484985,485632,,,,,,,,,
mscK,+,485760,489122,,,,,,,,,
ybaM,-,489334,489495,,,,,,,,,
priC,-,489509,490036,,,,,,,,,
ybaN,+,490106,490483,,,,,,,,,
apt,+,490636,491187,,,,,,,,,
dnaX,+,491316,493247,,,,,,,,,
ybaB,+,493300,493629,,,,,,,,,
recR,+,493629,494234,,,,,,,,,
htpG,+,494344,496218,,,,,,,,,
adk,+,496399,497043,,,,,,,,,
hemH,+,497279,498241,,,,,,,,,
aes,-,498238,499197,,,,,,,,,
gsk,+,499349,500653,,,,,,,,,
ybaL,-,500786,502462,,,,,,,,,
fsr,-,502700,503920,,,,,,,,,
ushA,+,504138,505790,,,,,,,,,
ybaK,-,505827,506306,,,,,,,,,
chiX,+,506428,506511,,,,,,,,,
ybaP,-,506510,507304,,,,,,,,,
ybaQ,+,507442,507783,,,,,,,,,
copA,-,508099,510603,,,,,,,,,
ybaS,+,510865,511797,,,,,,,,,
ybaT,+,511800,513092,,,,,,,,,
cueR,+,513217,513624,,,,,,,,,
ybbJ,-,513625,514083,,,,,,,,,
qmcA,-,514080,514997,,,,,,,,,
fetA,+,515143,515820,,,,,,,,,
fetB,+,515807,516586,,,,,,,,,
ybbN,-,516649,517503,,,,,,,,,
ybbO,-,517564,518373,,,,,,,,,
tesA,-,518363,518989,,,,,,,,,
ybbA,+,518957,519643,,,,,,,,,
ybbP,+,519640,522054,,,,,,,,,
rhsD,+,522485,526765,,,,,,,,,
ybbC,+,526805,527173,,,,,,,,,
ylbH,+,527173,527883,,,,,,,,,
ybbD,+,527864,528124,,,,,,,,,
ylbG,-,528869,529240,,,,,,,,,
ybbB,-,529356,530450,,,,,,,,,
allS,-,530519,531445,,,,,,,,,
allA,+,531675,532157,,,,,,,,,
allR,+,532235,533050,,,,,,,,,
gcl,+,533140,534921,,,,,,,,,
hyi,+,534934,535710,,,,,,,,,
glxR,+,535810,536688,,,,,,,,,
ybbW,+,536857,538311,,,,,,,,,
allB,+,538371,539732,,,,,,,,,
ybbY,+,539789,541090,,,,,,,,,
glxK,+,541112,542257,,,,,,,,,
allE,-,542485,543270,,,,,,,,,
allC,-,543281,544516,,,,,,,,,
allD,-,544538,545587,,,,,,,,,
fdrA,+,545904,547571,,,,,,,,,
ylbF,+,548850,549665,,,,,,,,,
ybcF,+,549662,550555,,,,,,,,,
purK,-,550750,551817,,,,,,,,,
purE,-,551814,552323,,,,,,,,,
lpxH,-,552441,553163,,,,,,,,,
ppiB,-,553166,553660,,,,,,,,,
cysS,+,553834,555219,,,,,,,,,
ybcI,-,555255,555776,,,,,,,,,
ybcJ,-,555884,556096,,,,,,,,,
folD,-,556098,556964,,,,,,,,,
sfmA,+,557435,557977,,,,,,,,,
sfmC,+,558197,558889,,,,,,,,,
sfmD,+,558920,561523,,,,,,,,,
sfmH,+,561565,562542,,,,,,,,,
sfmF,+,562553,563068,,,,,,,,,
fimZ,-,563071,563703,,,,,,,,,
argU,+,563946,564022,,,,,,,,,
intD,-,564038,565201,,,,,,,,,
ybcC,-,565321,565584,,,,,,,,,
insE-3,+,566056,566364,,,,,,,,,
insEF-3,+,566056,567227,,,,,,,,,
insF-3,+,566361,567227,,,,,,,,,
renD,+,567285,567470,,,,,,,,,
emrE,+,567538,567870,,,,,,,,,
ybcK,+,568125,569651,,,,,,,,,
ybcL,+,570116,570667,,,,,,,,,
ybcM,+,570677,571474,,,,,,,,,
ylcH,+,571591,571692,,,,,,,,,
ybcN,+,571689,572144,,,,,,,,,
ninE,+,572144,572314,,,,,,,,,
ybcO,+,572307,572597,,,,,,,,,
rusA,+,572594,572956,,,,,,,,,
ylcG,+,572953,573093,,,,,,,,,
ybcQ,+,573179,573562,,,,,,,,,
insH-2,-,573960,574976,,,,,,,,,
nmpC,-,574981,576048,,,,,,,,,
essD,+,576621,576836,,,,,,,,,
rrrD,+,576836,577333,,,,,,,,,
rzpD,+,577330,577791,,,,,,,,,
rzoD,+,577550,577732,,,,,,,,,
borD,-,577823,578116,,,,,,,,,
ybcV,-,578407,578817,,,,,,,,,
ybcW,+,579103,579309,,,,,,,,,
ylcI,-,579474,579668,,,,,,,,,
nohB,+,580057,580602,,,,,,,,,
tfaD,+,580757,581320,,,,,,,,,
ybcY,-,581375,581959,,,,,,,,,
tfaX,+,582098,582283,,,,,,,,,
appY,+,582904,583653,,,,,,,,,
ompT,-,583903,584856,,,,,,,,,
envY,-,585370,586131,,,,,,,,,
ybcH,-,586314,587204,,,,,,,,,
nfrA,-,587205,590177,,,,,,,,,
nfrB,-,590164,592401,,,,,,,,,
cusS,-,592551,593993,,,,,,,,,
cusR,-,593983,594666,,,,,,,,,
cusC,+,594823,596196,,,,,,,,,
cusF,+,596354,596686,,,,,,,,,
cusB,+,596702,597925,,,,,,,,,
cusA,+,597937,601080,,,,,,,,,
pheP,+,601182,602558,,,,,,,,,
ybdG,-,602639,603886,,,,,,,,,
nfsB,-,603994,604647,,,,,,,,,
ybdF,-,604741,605109,,,,,,,,,
ybdJ,-,605174,605422,,,,,,,,,
ybdK,-,605488,606606,,,,,,,,,
hokE,+,607059,607211,,,,,,,,,
insL-2,+,607288,608400,,,,,,,,,
entD,-,608682,609302,,,,,,,,,
fepA,-,609477,611717,,,,,,,,,
fes,+,612038,613162,,,,,,,,,
ybdZ,+,613165,613383,,,,,,,,,
entF,+,613380,617261,,,,,,,,,
fepE,+,617477,618610,,,,,,,,,
fepC,-,618607,619422,,,,,,,,,
fepG,-,619419,620411,,,,,,,,,
fepD,-,620408,621412,,,,,,,,,
entS,+,621523,622773,,,,,,,,,
fepB,-,622777,623733,,,,,,,,,
entC,+,624108,625283,,,,,,,,,
entE,+,625293,626903,,,,,,,,,
entB,+,626917,627774,,,,,,,,,
entA,+,627774,628520,,,,,,,,,
entH,+,628523,628936,,,,,,,,,
cstA,+,629117,631222,,,,,,,,,
ybdD,+,631405,631602,,,,,,,,,
ybdH,-,631612,632700,,,,,,,,,
ybdL,+,632809,633969,,,,,,,,,
ybdM,-,633970,634599,,,,,,,,,
ybdN,-,634572,635792,,,,,,,,,
ybdO,-,635939,636841,,,,,,,,,
dsbG,-,637050,637796,,,,,,,,,
ahpC,+,638168,638731,,,,,,,,,
ahpF,+,638976,640541,,,,,,,,,
uspG,-,640662,641090,,,,,,,,,
ybdR,+,641311,642549,,,,,,,,,
rnk,-,642780,643190,,,,,,,,,
rna,-,643420,644226,,,,,,,,,
citT,-,644340,645803,,,,,,,,,
citG,-,645854,646732,,,,,,,,,
citX,-,646707,647258,,,,,,,,,
citF,-,647262,648794,,,,,,,,,
citE,-,648805,649713,,,,,,,,,
citD,-,649710,650006,,,,,,,,,
citC,-,650021,651079,,,,,,,,,
dpiB,+,651458,653116,,,,,,,,,
dpiA,+,653085,653765,,,,,,,,,
dcuC,-,653806,655191,,,,,,,,,
pagP,+,655780,656340,,,,,,,,,
cspE,+,656515,656724,,,,,,,,,
crcB,-,656778,657161,,,,,,,,,
tatE,+,658170,658373,,,,,,,,,
lipA,-,658474,659439,,,,,,,,,
ybeF,-,659648,660601,,,,,,,,,
lipB,-,660860,661501,,,,,,,,,
ybeD,-,661602,661865,,,,,,,,,
dacA,-,661975,663186,,,,,,,,,
rlpA,-,663325,664413,,,,,,,,,
mrdB,-,664424,665536,,,,,,,,,
mrdA,-,665539,667440,,,,,,,,,
rlmH,-,667471,667938,,,,,,,,,
rsfS,-,667942,668259,,,,,,,,,
cobC,-,668519,669130,,,,,,,,,
nadD,-,669154,669795,,,,,,,,,
holA,-,669797,670828,,,,,,,,,
lptE,-,670828,671409,,,,,,,,,
leuS,-,671424,674006,,,,,,,,,
ybeL,+,674241,674723,,,,,,,,,
ybeQ,-,674793,675770,,,,,,,,,
ybeR,+,675934,676641,,,,,,,,,
djlB,+,676638,678065,,,,,,,,,
ybeT,-,678075,678629,,,,,,,,,
ybeU,+,678731,679438,,,,,,,,,
djlC,+,679435,680886,,,,,,,,,
hscC,-,680946,682616,,,,,,,,,
rihA,-,682700,683635,,,,,,,,,
gltL,-,683753,684478,,,,,,,,,
gltK,-,684478,685152,,,,,,,,,
gltJ,-,685152,685892,,,,,,,,,
